Hotel Name,Address,Rating,Price
,,,
Adventure Travel Kalash,"Main Bazaar, Bamburat Kalash Valley, Chitral.",2,"PKR 3,500"
,,,
Al Madina Hotel,"Main Road, Chitral.",2,"PKR 1,700"
,,,
Al Mughal Hotel,"Main Road Chitral, Chitral.",3,"PKR 2,000"
,,,
Alam Hotel Darosh,"Main Road, Chitral, Chitral.",3,"PKR 1,500"
,,,
Alexander Hotel Kalash,"Main Bazaar Bamburat, Kalash valley, Chitral.",5,"PKR 4,000"
,,,
Ali Guest House,"Main Road, Chitral.",3,"PKR 1,600"
,,,
Benazir Hotel Bamburat,"Main Bazaar, Bamburat Kalash Valley, Chitral.",3,"PKR 1,100"
,,,
Chinnar Inn Hotel,"Main Road, Chitral.",3,"PKR 1,370"
,,,
Chitral City Tower,"Main Road, Chitral.",3,"PKR 1,000"
,,,
Chitral Continental Hotel,"Main Road, Chitral.",3,"PKR 2,000"
,,,
Chitral Savana Hotel,"Main Road Chitral, Chitral.",4,"PKR 2,000"
,,,
Chitral View Hotel,"Main Road, Chitral.",3,"PKR 2,000"
,,,
City View Hotel Darosh,"Main Road, Chitral.",3,"PKR 2,500"
,,,
Faran Tourist Inn Hotel,"Main Bazaar, Bamburat Kalash Valley, Chitral.",4,"PKR 1,300"
,,,
Faraz Hotel Darosh,"Main Road, Chitral.",3,"PKR 2,000"
,,,
Galaxy Hotel Bamburat,"Main Bazaar, Bamburat Kalash Valley, Chitral.",5,"PKR 4,000"
,,,
Gori Moon Hotel Bamburat,"Main Bazaar, Bamburat Kalash Valley, Chitral.",3,"PKR 1,500"
,,,
Green Hotel Bamburat,"Main Bazaar, Bamburat Kalash Valley, Chitral.",3,"PKR 1,500"
,,,
Hotel Continental,"Main Road, Chitral.",3,"PKR 1,500"
,,,
Hotel Dreamland Chitral,"Main Road, Chitral.",4,"PKR 2,000"
