Hotel Name,Address,Rating,Price
Baigs Hotel Gilgit,"Main Road, Gilgit.",2.0,"PKR 1,300"
City Gate Hotel Gilgit,"Shahrah-e-Quaid-e-Azam, Gilgit.",3.0,"PKR 1,700"
City Guest House,"Main Road, Gilgit.",3.0,"PKR 1,100"
Fairy Meadows Broad view Hotel,"Fairy Meadows Nanga Parbat View Point, Gilgit.",6.0,"PKR 2,800"
Fairy Meadows Cottage,"Naga Parbat, Gilgit.",5.0,"PKR 9,000"
Gupis PTDC Motel Gilgit,"Shandur Gilgit Road, Gilgit.",6.0,"PKR 3,800"
Hotel Shaheen,"Main G.T Road, Gilgit.",3.0,"PKR 1,100"
Jamal Hotel,"Airport Road, Gilgit.",2.0,"PKR 2,000"
JSR Hotel,"Main Bazaar, Karimabad, Gilgit.",2.0,"PKR 2,000"
Madina Guest House Madyen,"Main Bazaar, Madyen, Gilgit.",2.0,"PKR 2,000"
Park Hotel Gilgit,"Airport Road, Gilgit.",4.0,"PKR 5,500"
PTDC Motel Gilgit Baltistan,"Babar Road, Gilgit.",4.0,"PKR 4,000"
PTDC Motel Phandar Valley,"Main Road, Phandar Valley, Gilgit.",6.0,"PKR 3,500"
PTDC Motel Rama Lake,"Rama Lake, Gilgit.",8.0,"PKR 4,000"
PTDC Motel Sust,"Sust, Gilgit.",5.0,"PKR 3,400"
Raikot Serai,"Main Road, Fairy Meadows, Gilgit.",5.0,"PKR 3,500"
Riveria Hotel Gilgit,"Chinar Bagh, Gilgit.",5.0,"PKR 7,000"
Rupal Inn Hotel,"Shahrah -e-Quaid-e-Azam, Gilgit.",5.0,"PKR 4,000"
Serena Hotel Gilgit,"Sherullah Beg Road Jutial Rais Road, Gilgit.",8.0,"PKR 11,000"
Skyways Hotel Gilgit,"Main Road, Gilgit.",3.0,"PKR 2,000"
