Hotel Name,Address,Rating,Price
,,,
Hunza Darbar Hotel,"Hunza Valley, Karimabad, Hunza.",6,"PKR 12,000"
,,,
Eagle Nest Hotel,"Dulkar, Altit Hunza, Hunza.",8,"PKR 10,500"
,,,
Al Barakaat Hotel,"P.O Karimabad Hunzal, Aliaabad, Hunza.",4,"PKR 8,000"
,,,
Hotel Hunza Embassy,"P.O, Karimabad, Hunza.",4,"PKR 6,500"
,,,
Hunza Serena Hotel,"Main Road, Karimabad, Hunza.",8,"PKR 9,000"
,,,
Marcopolo Inn,"KKH Road, Gulmit Gujal, Hunza.",4,"PKR 8,000"
,,,
Mulberry Hotel,"Main Road Hunza Valley, Karimabad, Hunza.",5,"PKR 6,000"
,,,
PTDC Motel Hunza,"Main Road Hunza Valley, Alliabad, Hunza.",5,"PKR 7,500"
,,,
Gulmit Continental Hotel,"Gulmit, Gujal, Hunza.",5,"PKR 8,000"
,,,
Fort View Hotel,"Central Altit Near Altit Fort Parking Chowk Ahmedabad Road District , Hunza.",5,"PKR 3,000"
,,,
Mountain Story,"Upper Link Road Aliabad, Hunza.",3,"PKR 9,500"
,,,
Al Mehmood Hotel,"Main Road, Sust, Hunza.",3,"PKR 4,500"
,,,
Asia Hotel Sust,"Main Road, Sust, Hunza.",2,"PKR 4,500"
,,,
Doulat Hotel,"Main Road, Sust, Hunza.",1,"PKR 4,500"
,,,
Four Brothers Hotel,"Karakoram Highway, Sust, Hunza.",3,"PKR 5,000"
,,,
Grace Continental Hotel,"Hunza Dinar Market, Aliabad, Hunza.",4,"PKR 4,500"
,,,
Haider Inn Hotel,"Main Road, Hunza Valley, Hunza.",3,"PKR 4,500"
,,,
Haji Jan Guest House,"Main Road, Hunza Valley, Hunza.",3,"PKR 4,000"
,,,
Hill Top Hunza,"Main Road, Karimabad, Hunza.",5,"PKR 5,500"
,,,
Hotel Blue Moon,"Main Road, Karimabad, Hunza.",4,"PKR 4,000"
