Hotel Name,Address,Rating,Price
,,,
Demanchi Hotel Naran,"Main Bazaar, Naran, Mansehra, Naran.",6,"PKR 8,500"
,,,
PTDC Motel Naran,"Main Bazaar, Naran, Mansehra, Naran.",8,"PKR 6,000"
,,,
Rockwood Resort Naran,"Main Gilgit Road, Naran.",3,"PKR 8,000"
,,,
Millennium Hotel Naran,"Main Bazaar Naran, Naran.",5,"PKR 13,500"
,,,
Maisonette Hotel Naran,"Jheel road Naran, KPK, Naran.",5,"PKR 2,500"
,,,
Sayyam Heights Naran,"Jheel Road, Naran, Mansehra, Naran.",5,"PKR 11,000"
,,,
Pine Park Hotel and Restaurant,"Jheel road, Naran.",3,"PKR 10,500"
,,,
Centurion Hotel Naran,"By Pass Road, Naran, Mansehra, Naran.",5,"PKR 5,500"
,,,
Grey Walls Mountain Huts Naran,"800 Meter Saif-ul-Malook Road, Naran.",3,"PKR 13,000"
,,,
Kunhar Hotel,"Main Road, Naran, Mansehra, Naran.",3,"PKR 4,500"
,,,
Trout Land Hotel Naran,"Jheel Road, Naran, Mansehra, Naran.",3,"PKR 6,000"
,,,
Affaq Hotel Naran,"By Pass, Naran, Mansehra, Naran.",4,"PKR 6,500"
,,,
Arcadian Riverside Adventure Resort,"Naran Road by Kunhar River, Khanian Naran, Mansehra, Naran.",7,"PKR 6,000"
,,,
Ashiana Hotel Naran,"Jheel Road, Naran, Mansehra, Naran.",4,"PKR 6,500"
,,,
Ashyana Hotel,"Main Bazaar Naran Road, Mansehra, Naran.",4,"PKR 4,300"
,,,
Blue Mountain Hotel Naran,"Main Bazaar, Naran, Mansehra, Naran.",5,"PKR 11,000"
,,,
Cloud Way Hotel,"Off Jheel Road, Naran, Mansehra, Naran.",3,"PKR 6,500"
,,,
Deep Forest Hotel,"Naran Valley, Naran.",3,"PKR 7,500"
,,,
Fabsago Hotel,"Naran Valley, Naran.",5,"PKR 5,000"
,,,
Faran Hotel Naran,"Naran Valley, Naran.",4,"PKR 5,500"
