Hotel Name,Address,Rating,Price
,,,
Al Khidmat Guest House,"Main Bazaar, Sharda, Neelum Valley.",2,"PKR 4,000"
,,,
Ali Family Guest House,"Main Bazaar Changan, Neelum, Neelum Valley.",4,"PKR 2,500"
,,,
Awami Guest House,"Arrang kail, Neelum valley, Neelum Valley.",2,"PKR 1,100"
,,,
Musk Deer Resort,"Arang Kail, Kail, Neelum Valley.",5,"PKR 2,500"
,,,
Neelum River Inn Guest House,"Main Bazaar, Atthmuqam, Neelum Valley.",3,"PKR 2,500"
,,,
Paradize Lodges and Tours Keran,"Sharda Road Keran, Neelum Valley, Neelum Valley.",3,"PKR 3,500"
,,,
Perfect Continental Resort,"2-KM Before Karan, Neelum Valley, Neelum Valley.",3,"PKR 3,500"
,,,
Sarhad Hotel,"Main Bazaar, Kail, Neelum Valley.",2,"PKR 4,000"
,,,
Tent Valley Sharda,"Main Bazaar, Sharda, Neelum Valley.",3,"PKR 4,000"
,,,
Tourist Lodge Dawarrian,"Main Bazaar, Dowarrian, Neelum Valley.",3,"PKR 3,500"
,,,
Tourist Motel Kail,"Near Arrang Kail, Kail, Neelum Valley.",3,"PKR 4,000"
,,,
Tourist Resort,"Nelum Valley, Keran, Neelum Valley.",3,"PKR 5,500"
,,,
Valley Tracker,"Nelum Valley, Sharda, Neelum Valley.",3,"PKR 4,000"
