Hotel Name,Address,Rating,Price
,,,
Al Faisal Hotel Shogran,"Shogran Valley, Shogran.",5,"PKR 5,000"
,,,
Alpine Guest House Shogran,"Shogran Valley, Shogran.",5,"PKR 5,500"
,,,
Arcadian Sprucewoods Luxury Resorts,"Shogran Valley, Shogran.",8,"PKR 7,000"
,,,
Cedar Woods Resort,"Shogran Valley, Shogran.",3,"PKR 15,000"
,,,
Green Land Motel Shogran,"Shogran Valley, Shogran.",4,"PKR 5,500"
,,,
Green Park Hotel Shogran,"Shogran Valley, Shogran.",4,"PKR 5,000"
,,,
Hill Top Guest House,"Shogran Valley, Shogran.",4,"PKR 6,500"
,,,
Hill Top Hotel Shogran,"Shogran Valley, Shogran.",4,"PKR 6,500"
,,,
Hotel Serenity,"Shogran Valley, Shogran.",4,"PKR 3,500"
,,,
Kanloop Hotel and Cottage Shogran,"Shogran Valley, Shogran.",5,"PKR 4,000"
,,,
Kehkeshan Hotel Shogran,"Shogran Valley, Shogran.",3,"PKR 5,000"
,,,
Lalazar Hotel Shogran,"Shogran Valley, Shogran.",5,"PKR 2,000"
,,,
Pine Park Hotel,"Shogran Valley, Shogran.",6,"PKR 4,000"
,,,
Shogran Guest House,"Main Valley Shogran, Shogran.",3,"PKR 4,000"
,,,
Shogran Hotel,"Shogran Valley, Shogran.",3,"PKR 5,500"
,,,
Sky View Hotel Shogran,"Shogran Valley, Shogran.",3,"PKR 6,500"
,,,
Tourist Inn Hotel and Restaurant Shogran,"Shogran Valley, Shogran.",3,"PKR 4,500"
